ticker,empresa,tipo,qtde,part
BRAP4,BRADESPAR,PN N1,222.089.397,0.43
TRPL4,TRAN PAULIST,PN N1,395.797.044,0.424
FLRY3,FLEURY,ON NM,305.126.422,0.405
ELET6,ELETROBRAS,PNB N1,240.022.548,0.393
QUAL3,QUALICORP,ON NM,281.558.308,0.387
BRKM5,BRASKEM,PNA N1,264.632.416,0.379
CRFB3,CARREFOUR BR,ON NM,384.888.219,0.375
CSNA3,SID NACIONAL,ON,642.387.288,0.354
EMBR3,EMBRAER,ON NM,736.171.905,0.346
MULT3,MULTIPLAN,ON N2,270.279.854,0.327
TAEE11,TAESA,UNT N2,218.568.274,0.325
AZUL4,AZUL,PN N2,317.471.474,0.319
SAPR11,SANEPAR,UNT N2,200.991.234,0.317
CYRE3,CYRELA REALT,ON NM,281.154.098,0.31
MRFG3,MARFRIG,ON NM,423.143.092,0.293
CPFE3,CPFL ENERGIA,ON NM,170.209.781,0.287
CESP6,CESP,PNB N1,182.017.689,0.275
ENBR3,ENERGIAS BR,ON NM,295.402.225,0.275
LCAM3,LOCAMERICA,ON NM,313.436.726,0.274
ALPA4,ALPARGATAS,PN N1,187.007.704,0.27
MRVE3,MRV,ON NM,294.706.737,0.266
LAME3,LOJAS AMERIC,ON N1,201.042.500,0.264
CIEL3,CIELO,ON NM,1.118.386.806,0.258
PSSA3,PORTO SEGURO,ON NM,94.159.042,0.255
BIDI11,BANCO INTER,UNT N2,133.321.962,0.245
GOAU4,GERDAU MET,PN N1,662.644.908,0.245
LIGT3,LIGHT S/A,ON NM,303.934.060,0.242
NEOE3,NEOENERGIA,ON NM,239.251.040,0.231
PRIO3,PETRORIO,ON NM,126.730.759,0.226
TIET11,AES TIETE E,UNT N2,297.885.382,0.223
ODPV3,ODONTOPREV,ON NM,262.949.268,0.204
EZTC3,EZTEC,ON NM,95.629.772,0.199
ALSO3,ALIANSCSONAE,ON NM,127.374.163,0.197
ALUP11,ALUPAR,UNT N2,150.960.603,0.197
CPLE3,COPEL,ON N1,60.002.482,0.195
STBP3,SANTOS BRP,ON NM,664.998.779,0.192
CSMG3,COPASA,ON NM,62.969.736,0.186
USIM5,USIMINAS,PNA N1,513.781.576,0.186
DTEX3,DURATEX,ON NM,273.622.865,0.183
LINX3,LINX,ON NM,160.913.029,0.183
BEEF3,MINERVA,ON NM,259.260.688,0.182
IGTA3,IGUATEMI,ON NM,86.913.923,0.168
MDIA3,M.DIASBRANCO,ON NM,83.613.641,0.167
BRSR6,BANRISUL,PNB N1,202.531.540,0.156
BKBR3,BK BRASIL,ON NM,224.816.907,0.154
SMTO3,SAO MARTINHO,ON NM,147.017.773,0.153
CVCB3,CVC BRASIL,ON NM,145.617.442,0.152
BPAN4,BANCO PAN,PN N1,315.644.002,0.149
CMIG3,CEMIG,ON N1,239.077.295,0.147
OMGE3,OMEGA GER,ON NM,78.558.516,0.141
TEND3,TENDA,ON NM,96.310.946,0.138
RLOG3,COSAN LOG,ON NM,125.570.897,0.122
ECOR3,ECORODOVIAS,ON NM,171.079.276,0.122
GOLL4,GOL,PN N2,134.613.917,0.121
GRND3,GRENDENE,ON NM,271.290.545,0.116
SLCE3,SLC AGRICOLA,ON NM,85.085.106,0.112
MYPK3,IOCHP-MAXION,ON NM,139.973.015,0.107
EVEN3,EVEN,ON NM,205.280.287,0.105
ARZZ3,AREZZO CO,ON NM,44.066.233,0.105
HGTX3,CIA HERING,ON NM,126.302.831,0.103
VIVA3,VIVARA S.A.,ON NM,93.368.726,0.1
BRPR3,BR PROPERT,ON NM,202.188.430,0.1
ANIM3,ANIMA,ON NM,72.891.620,0.098
CNTO3,CENTAURO,ON NM,56.408.109,0.094
RAPT4,RANDON PART,PN N1,176.269.235,0.091
MOVI3,MOVIDA,ON NM,132.725.200,0.091
POMO4,MARCOPOLO,PN N2,573.840.089,0.09
LOGG3,LOG COM PROP,ON NM,60.322.071,0.085
LOGN3,LOG-IN,ON NM,100.931.707,0.084
JHSF3,JHSF PART,ON NM,248.100.816,0.078
GUAR3,GUARARAPES,ON,86.112.560,0.073
CAML3,CAMIL,ON NM,120.834.497,0.071
JSLG3,JSL,ON NM,55.040.438,0.065
SQIA3,SINQIA,ON NM,58.960.436,0.063
CEAB3,CEA MODAS,ON NM,106.349.614,0.063
SAPR4,SANEPAR,PN N2,203.503.821,0.062
UNIP6,UNIPAR,PNB,45.658.398,0.06
TUPY3,TUPY,ON NM,65.947.515,0.06
ABCB4,ABC BRASIL,PN N2,73.265.872,0.057
PARD3,IHPARDINI,ON NM,45.161.696,0.052
SMLS3,SMILES,ON NM,58.842.428,0.052
AMAR3,LOJAS MARISA,ON NM,109.374.720,0.052
DIRR3,DIRECIONAL,ON NM,81.507.613,0.051
SEER3,SER EDUCA,ON NM,54.338.507,0.049
TRIS3,TRISUL,ON NM,79.617.212,0.044
ENAT3,ENAUTA PART,ON NM,75.630.071,0.043
WIZS3,WIZ S.A.,ON NM,76.791.625,0.042
VLID3,VALID,ON NM,68.845.943,0.041
LEVE3,METAL LEVE,ON NM,38.492.519,0.04
HBOR3,HELBOR,ON NM,326.312.863,0.039
TGMA3,TEGMA,ON NM,32.006.778,0.037
MEAL3,IMC S/A,ON NM,169.040.156,0.036
MILS3,MILLS,ON NM,114.647.292,0.035
TCSA3,TECNISA,ON EG NM,54.778.381,0.029
POSI3,POSITIVO TEC,ON ED NM,78.616.498,0.022
VULC3,VULCABRAS,ON NM,74.685.291,0.019
DMMO3,DOMMO,ON,269.968.506,0.019
BIDI4,BANCO INTER,PN N2,27.878.033,0.018
GFSA3,GAFISA,ON NM,67.798.040,0.018
